Supplier Name,Phone Number,Category,URL,Main Image,Gallery,Real Phone,Website,Google Reviews Link,Google Image,Google Rating,Reviews Count,Address,Description,Instagram,Facebook,Downloaded Images,Downloaded Main Image
"סיה | Sia Events מתחם אירועים, נס ציונה",077-8049368,אולמות וגנים,https://engaged.co.il/המלצות/sia-events.html,,,052-9709902,siaevents21.com,,,,,"וייצמן 30, נס ציונה",,,,,
וואלי | valley-events גן אירועים בשרון,077-2313940,אולמות וגנים,https://engaged.co.il/המלצות/וואלי-2.html,,,09-7636090,https://valley-events.co.il/,,,,,"זאב בלפר 27, כפר סבא",,,,,
מתחם החמאם | Hamam אירועים עושים היסטוריה,,אולמות וגנים,https://engaged.co.il/המלצות/מתחם-החמאם.html,,,03-7353231,https://hamam.co.il,,https://hamam.co.il/wp-content/uploads/2023/07/חתונות-מתחם-החמאם-עמוד-הבית-2023-4-1_0058_321336056_549574357035510_1616133368959008232_n.webp,,,"טיילת מפרץ שלמה 10, יפו העתיקה",,,,,
אוריאנה | Oriyana Events אולם אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/אולמי_אוריאנה.html,,,+972 3-634-5500,,"https://www.google.com/maps/search/?api=1&query=אוריאנה+Oriyana+Events+אולם+אירועים,היוצרים+16,+אור+יהודה,+ישראל",,4.2,704,"היוצרים 16, אור יהודה, ישראל",,,,,
גני כנען | Ganey Cnaan גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/גני-כנען.html,,,08-9355051,,,,,,קיבוץ נען,,,,,
מפלים | Mapalim גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/מפלים.html,,,03-5224422,https://rain-events.co.il,"https://www.google.com/maps/place/%D7%A8%D7%99%D7%99%D7%9F+Rain+Events/@31.970228,34.799736,17z/data=!4m8!3m7!1s0x1502b21000000000:0x1234567890abcdef!8m2!3d31.970228!4d34.799736!9m1!1b1!16s%2Fg%2F11f0_1234",https://rain-events.co.il/wp-content/uploads/2022/08/RAIN.png,4.3,1123,"לזרוב 23, ראשון לציון, ישראל",,,,,
שלוש הבית לאירועים | Shalosh Events אור יהודה,077-9979455,אולמות וגנים,https://engaged.co.il/המלצות/שלוש-אירועים.html,,,03-9173999,https://shalosh-events.co.il,,,,,"דוד כהן 3, אור יהודה",,,,,
אלגריה | Alegria מתחם אירועים,077-7299530,אולמות וגנים,https://engaged.co.il/המלצות/אלגריה.html,,,08-9477800,https://alegriaevent.co.il,https://www.google.com/maps/search/?api=1&query=%D7%90%D7%9C%D7%92%D7%A8%D7%99%D7%94+Alegria+%D7%9E%D7%AA%D7%97%D7%9D+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D,,4.3,3037,"המלך חסן השני 12, קרית עקרון",,,,,
קולוניה | Colonia גן אירועים,077-2310883,אולמות וגנים,https://engaged.co.il/המלצות/קולוניה-אירועים.html,,,053-9426142,http://www.colonia-events.co.il/,https://www.google.com/maps/search/?api=1&query=קולוניה+Colonia+גן+אירועים+המדע+18+רחובות,http://www.colonia-events.co.il/wp-content/uploads/2021/06/colonia-logo.png,4.4,1818,"המדע 18, רחובות",,,,,
מאורסים ארגון חתונה,055-4547279,אולמות וגנים,https://engaged.co.il/המלצות/מאורסים-ארגון-חתונה.html,,,03-777-4862,https://maorashim.co.il,,,,,"רח' לישנסקי 4, מתחם 7 הכוכבים, ראשון לציון מערב, ישראל",,,,,
