Supplier Name,Phone Number,Category,URL,Main Image,Gallery,Real Phone,Website,Google Reviews Link,Google Image,Google Rating,Reviews Count,Address
"סיה | Sia Events מתחם אירועים, נס ציונה",052-9709902,אולמות וגנים,https://engaged.co.il/המלצות/sia-events.html,/media/suppliers/052-9709902/img_1.jpg,/media/suppliers/052-9709902/img_2.jpg|/media/suppliers/052-9709902/img_3.jpg|/media/suppliers/052-9709902/img_4.jpg|/media/suppliers/052-9709902/img_5.jpg,052-9709902,siaevents21.com,,,nan,nan,"וייצמן 30, נס ציונה"
וואלי | valley-events גן אירועים בשרון,09-7636090,אולמות וגנים,https://engaged.co.il/המלצות/וואלי-2.html,/media/suppliers/09-7636090/img_1.jpg,/media/suppliers/09-7636090/img_2.jpg|/media/suppliers/09-7636090/img_3.jpg|/media/suppliers/09-7636090/img_4.jpg|/media/suppliers/09-7636090/img_5.jpg,09-7636090,https://valley-events.co.il/,,,nan,nan,"זאב בלפר 27, כפר סבא"
מתחם החמאם | Hamam אירועים עושים היסטוריה,03-7353231,אולמות וגנים,https://engaged.co.il/המלצות/מתחם-החמאם.html,/media/suppliers/03-7353231/img_1.jpg,/media/suppliers/03-7353231/img_2.jpg|/media/suppliers/03-7353231/img_3.jpg|/media/suppliers/03-7353231/img_4.jpg|/media/suppliers/03-7353231/img_5.jpg,03-7353231,https://hamam.co.il,,,nan,nan,"טיילת מפרץ שלמה 10, יפו העתיקה"
אוריאנה | Oriyana Events אולם אירועים,03-6345500,אולמות וגנים,https://engaged.co.il/המלצות/אולמי_אוריאנה.html,/media/suppliers/_972_3-634-5500/img_1.jpg,,03-6345500,,,,4.2,704,"היוצרים 16, אור יהודה, ישראל"
גני כנען | Ganey Cnaan גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/גני-כנען.html,,,,,,,,,קיבוץ נען
מפלים | Mapalim גן אירועים,03-9411133,אולמות וגנים,https://engaged.co.il/המלצות/מפלים.html,/media/suppliers/03-9411133/img_1.jpg,,03-9411133,https://rain-events.co.il,,,4.3,1123,"לזרוב 23, ראשון לציון, ישראל"
שלוש הבית לאירועים | Shalosh Events אור יהודה,03-9173999,אולמות וגנים,https://engaged.co.il/המלצות/שלוש-אירועים.html,/media/suppliers/03-9173999/img_1.jpg,,03-9173999,https://shalosh-events.co.il,,,nan,nan,"דוד כהן 3, אור יהודה"
אלגריה | Alegria מתחם אירועים,08-9477800,אולמות וגנים,https://engaged.co.il/המלצות/אלגריה.html,/media/suppliers/08-9477800/img_1.jpg,,08-9477800,https://alegriaevent.co.il,,,4.3,3037,"המלך חסן השני 12, קרית עקרון"
קולוניה | Colonia גן אירועים,053-9426142,אולמות וגנים,https://engaged.co.il/המלצות/קולוניה-אירועים.html,/media/suppliers/053-9426142/img_1.jpg,,053-9426142,http://www.colonia-events.co.il/,,,4.4,1818,"המדע 18, רחובות"
מאורסים ארגון חתונה,055-4547279,אולמות וגנים,https://engaged.co.il/המלצות/מאורסים-ארגון-חתונה.html,,,,https://maorashim.co.il,,,,,"רח' לישנסקי 4, מתחם 7 הכוכבים, ראשון לציון מערב, ישראל"
