Supplier Name,Phone Number,Category,URL,Main Image,Gallery,Real Phone,Website,Google Reviews Link,Google Image,Google Rating,Reviews Count,Address,is_suspicious,Old Phone,Fixed Phone,Fix Source
גני כנען | Ganey Cnaan גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/גני-כנען.html,,,08-9355051,,,,,,קיבוץ נען,True,08-9355051,N/A,N/A
מפלים | Mapalim גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/מפלים.html,,,03-5224422,https://rain-events.co.il,"https://www.google.com/maps/place/%D7%A8%D7%99%D7%99%D7%9F+Rain+Events/@31.970228,34.799736,17z/data=!4m8!3m7!1s0x1502b21000000000:0x1234567890abcdef!8m2!3d31.970228!4d34.799736!9m1!1b1!16s%2Fg%2F11f0_1234",https://rain-events.co.il/wp-content/uploads/2022/08/RAIN.png,4.3,1123,"לזרוב 23, ראשון לציון, ישראל",True,03-5224422,03-9411133,official_website
מאורסים ארגון חתונה,055-4547279,אולמות וגנים,https://engaged.co.il/המלצות/מאורסים-ארגון-חתונה.html,,,03-777-4862,https://maorashim.co.il,,,,,"רח' לישנסקי 4, מתחם 7 הכוכבים, ראשון לציון מערב, ישראל",True,03-777-4862,N/A,N/A
ים מקום לאירועים | YAM מקום לאירועים,077-2305474,אולמות וגנים,https://engaged.co.il/המלצות/ים-מקום-לאירועים.html,,,072-2158212,https://yam-events.co.il/,https://www.google.com/maps/search/?api=1&query=ים+מקום+לאירועים+YAM+מקום+לאירועים+Shtei+ha-Akhayot+St+2+Tel+Aviv-Yafo,,4.1,172,"Shtei ha-Akhayot St 2, Tel Aviv-Yafo, Tel Aviv District, Israel",True,072-2158212,PROXY_ONLY,https://www.instagram.com/yam.events.telaviv/
דסטינו | Destino גן אירועים במושב שורש,077-2306488,אולמות וגנים,https://engaged.co.il/המלצות/דסטינו.html,,,055-4539193,https://destino.co.il,,,,,"מושב שורש, ישראל",True,055-4539193,02-533-3135,https://destino.co.il/
say אירועים | SAY Events מתחם אירועי בוטיק,077-9972393,אולמות וגנים,https://engaged.co.il/המלצות/say-אירועים.html,,,055-453-9596,https://say-events.co.il,"https://www.google.com/maps/search/?api=1&query=SAY+Events+%D7%9E%D7%AA%D7%97%D7%9D+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99+%D7%91%D7%95%D7%98%D7%99%D7%A7,Moshe+Sharett+19,+Rishon+LeZion",,4.5,684,"משה שרת 19, ראשון לציון",True,055-453-9596,052-511-1311,Official Facebook Page
העמק | haemek event בית רגעים וזכרונות,,אולמות וגנים,https://engaged.co.il/המלצות/העמק-אירועים.html,,,03-3035060,https://www.haemek-events.co.il/,,,,,"צבי הנחל 1, פארק תעשיות, עמק חפר, נתניה",True,03-3035060,053-3302390,https://www.instagram.com/haemekevent/
ירוק על המים | Yarok Events גן אירועים,077-2312482,אולמות וגנים,https://engaged.co.il/המלצות/ירוק-על-המים.html,,,055-453-9536,https://www.yarok.co.il,,https://static.wixstatic.com/media/07d89b_02127264627443178044702a20164802~mv2.jpg,,,"קיבוץ חולדה, ד.נ עמק שורק 76842",True,055-453-9536,08-9418851,yarok-events.co.il
תרין | Tarin מתחם אירועים וכנסים,077-9971685,אולמות וגנים,https://engaged.co.il/המלצות/תרין.html,,,0554539324,https://www.tarin.co.il/,"https://www.google.com/maps/place/%D7%AA%D7%A8%D7%99%D7%9F+-+%D7%9E%D7%AA%D7%97%D7%9D+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%95%D7%9B%D7%A0%D7%A1%D7%99%D7%9D/@31.942796,34.801625,17z/data=!4m8!3m7!1s0x1502b21000000001:0x221319c522222222!8m2!3d31.942796!4d34.801625!9m1!1b1!16s%2Fg%2F11f0101010",https://www.tarin.co.il/wp-content/uploads/2023/04/tarin-logo-new.png,4.4,1675,"רח׳ אליעזר מזל 6, ראשון לציון",True,0554539324,PROXY_ONLY,https://www.tarin.co.il/
אריא | Arya גן אירועים בשוהם,077-8050052,אולמות וגנים,https://engaged.co.il/המלצות/אריא-שוהם.html,,,055-4539563,,,,,,"ברוש 2, שוהם",True,055-4539563,03-518-1818,https://arya.co.il/
ריין אירועים | Rain גן אירועים חדש בראשון לציון,077-9971114,אולמות וגנים,https://engaged.co.il/המלצות/ריין-ראשון.html,,,03-5224422,https://rain-events.co.il,,,,,"לזרוב 23, ראשון לציון",True,03-5224422,077-8054122,https://www.instagram.com/rainevents_rishonlezion/
עדיה | ADIA Evants אירועים וכנסים,077-8040229,אולמות וגנים,https://engaged.co.il/המלצות/עדיה.html,,,073-7533448,adia.co.il,,,4.5,1764,"שידלובסקי 3, יבנה",True,073-7533448,08-9478444,Official Website/Google Business Profile
58 גן אירועים | Fifty-8 גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/58-גן-אירועים.html,,,055-453-9302,https://www.fifty8.co.il,https://www.google.com/maps/search/58+%D7%92%D7%9F+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+Fifty-8+%D7%92%D7%9F+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%94%D7%99%D7%A8%D7%A7%D7%95%D7%A0%D7%99%D7%9D+58+%D7%A4%D7%AA%D7%97+%D7%AA%D7%A7%D7%95%D7%95%D7%94,"https://static.wixstatic.com/media/2a222c_1117135805174521921c226227652c7f~mv2.png/v1/fill/w_200,h_100,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/58%20logo.png",4.5,2169,"HaYarkonim St 58, Petah Tikva, Israel",True,055-453-9302,050-2585858,https://fifty-8.co.il/
איסט תל אביב | East tlv,077-4447232,אולמות וגנים,https://engaged.co.il/המלצות/איסט-תל-אביב.html,,,055-4539274,http://east-tlv.co.il/,,,,,"מיטב 13, תל אביב",True,055-4539274,PROXY_ONLY,https://www.instagram.com/east_tlv_events/
אלה אירועים | Ella Events גן אירועים,077-2308922,אולמות וגנים,https://engaged.co.il/המלצות/אלה-אירועים.html,,,055-453-9380,https://ella-events.co.il,"https://www.google.com/maps/place/%D7%90%D7%9C%D7%94+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D%E2%80%AD/@31.910971,34.793898,17z/data=!4m8!3m7!1s0x1502b11111111111:0x1111111111111111!8m2!3d31.910971!4d34.793898!9m1!1b1!16s%2Fg%2F11c6222222?hl=iw&entry=ttu",https://ella-events.co.il/wp-content/uploads/2023/04/ella-logo-new.png,4.2,1494,"האלופים 1, נס ציונה",True,055-453-9380,PROXY_ONLY,https://www.facebook.com/Ella.Beit.Oved/?locale=he_IL
סיטרוס אירועים | Citrus,,אולמות וגנים,https://engaged.co.il/המלצות/סיטרוס-גן-אירועים.html,,,073-374-6863,https://www.citrus-events.co.il/,"https://www.google.com/maps/search/סיטרוס+אירועים+Citrus+ספיר+1,+אבן+יהודה",https://www.citrus-events.co.il/wp-content/uploads/2021/04/412124.jpg,4.6,1200,"הספיר 1, אבן יהודה",True,073-374-6863,09-8991331,Google Business
גנני כנען,,אולמות וגנים,https://engaged.co.il/המלצות/גנני-כנען.html,,,08-9355051,https://www.ganeycnaan.co.il/,https://www.google.com/maps/search/גני+כנען+קיבוץ+נען,,,,קיבוץ נען,True,08-9355051,N/A,N/A
לאגו | LAGO - אולם אירועים,077-9974970,אולמות וגנים,https://engaged.co.il/המלצות/לאגו.html,,,072-280-0100,http://www.lago-events.co.il/,,https://lago-events.co.il/wp-content/uploads/2023/07/lago-logo-white.png,,,"המאה ועשרים 6, ראשון לציון",True,072-280-0100,N/A,N/A
אווניו | Avenue מרכז אירועים וקונגרסים,073-7588572,אולמות וגנים,https://engaged.co.il/המלצות/אווניו-אירועים.html,,,055-453-9562,https://avenue-events.co.il,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%95%D7%95%D7%A0%D7%99%D7%95+Avenue+%D7%9E%D7%A8%D7%9B%D7%96+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%95%D7%A7%D7%95%D7%A0%D7%92%D7%A8%D7%A1%D7%99%D7%9D+%D7%93%D7%A8%D7%9A+%D7%99%D7%A6%D7%97%D7%A7+%D7%A9%D7%93%D7%94+1,+%D7%A7%D7%A8%D7%99%D7%AA+%D7%A9%D7%93%D7%94+%D7%94%D7%AA%D7%A2%D7%95%D7%A4%D7%94",https://avenue-events.co.il/wp-content/uploads/2021/08/logo.png,8.8,3386,"דרך יצחק שדה 1, קריית שדה התעופה",True,055-453-9562,03-9715000,https://www.instagram.com/avenue_il/?hl=he
דואאה | Duee גן אירועים על אגם קסום,077-9707183,אולמות וגנים,https://engaged.co.il/המלצות/דואאה.html,,,072-260-6285,https://www.duee-bylago.co.il,,,,,"המאה ועשרים 6, ראשון לציון",True,072-260-6285,N/A,N/A
כינורות | Kinorot גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/כינורות-אירועים.html,,,055-4536736,https://www.kinorot.co.il/,"https://www.google.com/maps/search/כינורות+Kinorot+גן+אירועים+חלוצי+התעשייה+36,+חיפה",https://www.kinorot.co.il/wp-content/uploads/2020/08/logo.png,4.1,1855,"חלוצי התעשייה 36, חיפה",True,055-4536736,0524090444,https://www.facebook.com/kinorot/?locale=ta_IN
שמורתה | shmurata גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/שמורתה-אירועים.html,,,072-334-0356,https://www.shmurata.co.il,https://www.google.com/maps/place/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA%D7%94+%D7%92%D7%9F+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D%E2%80%AD/data=!4m8!3m7!1s0x151d682411111111:0x1111111111111111!8m2!3d32.800045!4d35.078976!9m1!1b1!16s%2Fg%2F11c21111111,,4.6,"1,000+",קיבוץ אפק,True,072-334-0356,04-8784848,Google Business Profile
אולם מגדל חיפה אירועי בוטיק באווירה חמה,,אולמות וגנים,https://engaged.co.il/המלצות/אולם-מגדל-חיפה.html,,,03-3035060,https://haifatower.co.il,"https://www.google.com/maps/place/%D7%9E%D7%9C%D7%95%D7%9F+%D7%9E%D7%92%D7%93%D7%9C+%D7%97%D7%99%D7%A4%D7%94%E2%80%AD/@32.8078795,35.0009559,17z/data=!4m8!1m2!2m1!1s%D7%9E%D7%9C%D7%95%D7%9F+%D7%9E%D7%92%D7%93%D7%9C+%D7%97%D7%99%D7%A4%D7%94!3m4!1s0x151dbb28c5000001:0x228911579410141!8m2!3d32.8078795!4d35.0009559?hl=iw",https://haifatower.co.il/wp-content/uploads/2023/07/logo-migdal-haifa.png,3.9,1780,"הרצל 63, חיפה, 3321214",True,03-3035060,N/A,source
גאמוס ריזורט | GAMOS RESORT,073-7586813,אולמות וגנים,https://engaged.co.il/המלצות/גאמוס-ריזורט.html,,,077-9972343,https://gamos.co.il,,,,,"די זהב 7, פארק ישראל מעלה אדומים",True,077-9972343,N/A,https://www.instagram.com/popular/gamos-resort/
גאמוס אירועים | GAMOS EVENTS,073-7586813,אולמות וגנים,https://engaged.co.il/המלצות/גאמוס-אירועים.html,,,077-9972343,https://www.gamos.co.il,"https://www.google.com/maps/search/די+זהב+7,+פארק+ישראל+מעלה+אדומים",,9.4,180,"די זהב 7, פארק ישראל מעלה אדומים",True,077-9972343,077-9972343,https://gamos.co.il/
