Supplier Name,Phone Number,Category,URL,Main Image,Gallery,Real Phone,Website,Google Reviews Link,Google Image,Google Rating,Reviews Count,Address,is_suspicious
גני כנען | Ganey Cnaan גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/גני-כנען.html,,,08-9355051,,,,,,קיבוץ נען,True
מפלים | Mapalim גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/מפלים.html,,,03-5224422,https://rain-events.co.il,"https://www.google.com/maps/place/%D7%A8%D7%99%D7%99%D7%9F+Rain+Events/@31.970228,34.799736,17z/data=!4m8!3m7!1s0x1502b21000000000:0x1234567890abcdef!8m2!3d31.970228!4d34.799736!9m1!1b1!16s%2Fg%2F11f0_1234",https://rain-events.co.il/wp-content/uploads/2022/08/RAIN.png,4.3,1123,"לזרוב 23, ראשון לציון, ישראל",True
מאורסים ארגון חתונה,055-4547279,אולמות וגנים,https://engaged.co.il/המלצות/מאורסים-ארגון-חתונה.html,,,03-777-4862,https://maorashim.co.il,,,,,"רח' לישנסקי 4, מתחם 7 הכוכבים, ראשון לציון מערב, ישראל",True
ים מקום לאירועים | YAM מקום לאירועים,077-2305474,אולמות וגנים,https://engaged.co.il/המלצות/ים-מקום-לאירועים.html,,,072-2158212,https://yam-events.co.il/,https://www.google.com/maps/search/?api=1&query=ים+מקום+לאירועים+YAM+מקום+לאירועים+Shtei+ha-Akhayot+St+2+Tel+Aviv-Yafo,,4.1,172,"Shtei ha-Akhayot St 2, Tel Aviv-Yafo, Tel Aviv District, Israel",True
דסטינו | Destino גן אירועים במושב שורש,077-2306488,אולמות וגנים,https://engaged.co.il/המלצות/דסטינו.html,,,055-4539193,https://destino.co.il,,,,,"מושב שורש, ישראל",True
say אירועים | SAY Events מתחם אירועי בוטיק,077-9972393,אולמות וגנים,https://engaged.co.il/המלצות/say-אירועים.html,,,055-453-9596,https://say-events.co.il,"https://www.google.com/maps/search/?api=1&query=SAY+Events+%D7%9E%D7%AA%D7%97%D7%9D+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99+%D7%91%D7%95%D7%98%D7%99%D7%A7,Moshe+Sharett+19,+Rishon+LeZion",,4.5,684,"משה שרת 19, ראשון לציון",True
העמק | haemek event בית רגעים וזכרונות,,אולמות וגנים,https://engaged.co.il/המלצות/העמק-אירועים.html,,,03-3035060,https://www.haemek-events.co.il/,,,,,"צבי הנחל 1, פארק תעשיות, עמק חפר, נתניה",True
ירוק על המים | Yarok Events גן אירועים,077-2312482,אולמות וגנים,https://engaged.co.il/המלצות/ירוק-על-המים.html,,,055-453-9536,https://www.yarok.co.il,,https://static.wixstatic.com/media/07d89b_02127264627443178044702a20164802~mv2.jpg,,,"קיבוץ חולדה, ד.נ עמק שורק 76842",True
תרין | Tarin מתחם אירועים וכנסים,077-9971685,אולמות וגנים,https://engaged.co.il/המלצות/תרין.html,,,0554539324,https://www.tarin.co.il/,"https://www.google.com/maps/place/%D7%AA%D7%A8%D7%99%D7%9F+-+%D7%9E%D7%AA%D7%97%D7%9D+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%95%D7%9B%D7%A0%D7%A1%D7%99%D7%9D/@31.942796,34.801625,17z/data=!4m8!3m7!1s0x1502b21000000001:0x221319c522222222!8m2!3d31.942796!4d34.801625!9m1!1b1!16s%2Fg%2F11f0101010",https://www.tarin.co.il/wp-content/uploads/2023/04/tarin-logo-new.png,4.4,1675,"רח׳ אליעזר מזל 6, ראשון לציון",True
אריא | Arya גן אירועים בשוהם,077-8050052,אולמות וגנים,https://engaged.co.il/המלצות/אריא-שוהם.html,,,055-4539563,,,,,,"ברוש 2, שוהם",True
